Signatur;Titel;Spalte2
 Cod. 12096;Litterae annuae provinciae Austriae Societatis Iesu a. 1701;Cod.
 Cod. 12097;Litterae annuae provinciae Austriae Societatis Iesu a. 1702;Cod.
 Cod. 12098;Litterae annuae provinciae Austriae Societatis Iesu a. 1703;Cod.
 Cod. 12099;Litterae annuae provinciae Austriae Societatis Iesu a. 1704;Cod.
 Cod. 12100;Litterae annuae provinciae Austriae Societatis Iesu a. 1705;Cod.
 Cod. 12101;Litterae annuae provinciae Austriae Societatis Iesu a. 1706;Cod.
 Cod. 12102;Litterae annuae provinciae Austriae Societatis Iesu a. 1707;Cod.
 Cod. 12103;Litterae annuae provinciae Austriae Societatis Iesu a. 1708;Cod.
 Cod. 12104;Litterae annuae provinciae Austriae Societatis Iesu a. 1709;Cod.
 Cod. 12105;Litterae annuae provinciae Austriae Societatis Iesu a. 1710;Cod.
 Cod. 12106;Litterae annuae provinciae Austriae Societatis Iesu a. 1712;Cod.
 Cod. 12107;Litterae annuae provinciae Austriae Societatis Iesu a. 1713;Cod.
 Cod. 12108;Litterae annuae provinciae Austriae Societatis Iesu a. 1714;Cod.
 Cod. 12109;Litterae annuae provinciae Austriae Societatis Iesu a. 1715;Cod.
 Cod. 12110;Litterae annuae provinciae Austriae Societatis Iesu a. 1716;Cod.
 Cod. 12111;Litterae annuae provinciae Austriae Societatis Iesu a. 1717;Cod.
 Cod. 12112;Litterae annuae provinciae Austriae Societatis Iesu a. 1718;Cod.
 Cod. 12113;Litterae annuae provinciae Austriae Societatis Iesu a. 1719;Cod.
 Cod. 12114;Litterae annuae provinciae Austriae Societatis Iesu a. 1720;Cod.
 Cod. 12115;Litterae annuae provinciae Austriae Societatis Iesu a. 1721;Cod.
 Cod. 12116;Litterae annuae provinciae Austriae Societatis Iesu a. 1722;Cod.
 Cod. 12117;Litterae annuae provinciae Austriae Societatis Iesu a. 1723;Cod.
 Cod. 12118;Litterae annuae provinciae Austriae Societatis Iesu a. 1724;Cod.
 Cod. 12119;Litterae annuae provinciae Austriae Societatis Iesu a. 1725;Cod.
 Cod. 12120;Litterae annuae provinciae Austriae Societatis Iesu a. 1726;Cod.
 Cod. 12121;Litterae annuae provinciae Austriae Societatis Iesu a. 1727;Cod.
 Cod. 12122;Litterae annuae provinciae Austriae Societatis Iesu a. 1728;Cod.
 Cod. 12123;Litterae annuae provinciae Austriae Societatis Iesu a. 1729;Cod.
 Cod. 12124;Litterae annuae provinciae Austriae Societatis Iesu a. 1730;Cod.
 Cod. 12125;Litterae annuae provinciae Austriae Societatis Iesu a. 1731;Cod.
 Cod. 12126;Litterae annuae provinciae Austriae Societatis Iesu a. 1732;Cod.
 Cod. 12127;Litterae annuae provinciae Austriae Societatis Iesu a. 1733;Cod.
 Cod. 12128;Litterae annuae provinciae Austriae Societatis Iesu a. 1734;Cod.
 Cod. 12129;Litterae annuae provinciae Austriae Societatis Iesu a. 1735;Cod.
 Cod. 12130;Litterae annuae provinciae Austriae Societatis Iesu a. 1736;Cod.
 Cod. 12131;Litterae annuae provinciae Austriae Societatis Iesu a. 1737;Cod.
 Cod. 12132;Litterae annuae provinciae Austriae Societatis Iesu a. 1738;Cod.
 Cod. 12133;Litterae annuae provinciae Austriae Societatis Iesu a. 1739;Cod.
 Cod. 12134;Litterae annuae provinciae Austriae Societatis Iesu a. 1740;Cod.
 Cod. 12135;Litterae annuae provinciae Austriae Societatis Iesu a. 1741;Cod.
 Cod. 12136;Litterae annuae provinciae Austriae Societatis Iesu a. 1742;Cod.
 Cod. 12137;Litterae annuae provinciae Austriae Societatis Iesu a. 1743;Cod.
 Cod. 12138;Litterae annuae provinciae Austriae Societatis Iesu a. 1744;Cod.
 Cod. 12139;Litterae annuae provinciae Austriae Societatis Iesu a. 1745;Cod.
 Cod. 12140;Litterae annuae provinciae Austriae Societatis Iesu a. 1746;Cod.
 Cod. 12141;Litterae annuae provinciae Austriae Societatis Iesu a. 1747;Cod.
 Cod. 12142;Litterae annuae provinciae Austriae Societatis Iesu a. 1748;Cod.
 Cod. 12143;Litterae annuae provinciae Austriae Societatis Iesu a. 1749;Cod.
 Cod. 12144;Litterae annuae provinciae Austriae Societatis Iesu a. 1750;Cod.
 Cod. 12145;Litterae annuae provinciae Austriae Societatis Iesu a. 1751;Cod.
 Cod. 12146;Litterae annuae provinciae Austriae Societatis Iesu a. 1752;Cod.
 Cod. 12147;Litterae annuae provinciae Austriae Societatis Iesu a. 1753;Cod.
 Cod. 12148;Litterae annuae provinciae Austriae Societatis Iesu a. 1754;Cod.
 Cod. 12149;Litterae annuae provinciae Austriae Societatis Iesu a. 1755;Cod.
 Cod. 12150;Litterae annuae provinciae Austriae Societatis Iesu a. 1756;Cod.
 Cod. 12151;Litterae annuae provinciae Austriae Societatis Iesu a. 1757;Cod.
 Cod. 12152;Litterae annuae provinciae Austriae Societatis Iesu a. 1758;Cod.
 Cod. 12153;Litterae annuae provinciae Austriae Societatis Iesu a. 1759;Cod.
 Cod. 12154;Litterae annuae provinciae Austriae Societatis Iesu a. 1760;Cod.
 Cod. 12155;Litterae annuae provinciae Austriae Societatis Iesu a. 1761;Cod.
 Cod. 12156;Litterae annuae provinciae Austriae Societatis Iesu a. 1762;Cod.
 Cod. 12157;Litterae annuae provinciae Austriae Societatis Iesu a. 1763;Cod.
 Cod. 12158;Litterae annuae provinciae Austriae Societatis Iesu a. 1764;Cod.
 Cod. 12159;Litterae annuae provinciae Austriae Societatis Iesu a. 1765;Cod.
 Cod. 12160;Litterae annuae provinciae Austriae Societatis Iesu a. 1766;Cod.
 Cod. 12161;Litterae annuae provinciae Austriae Societatis Iesu a. 1767;Cod.
 Cod. 12162;Litterae annuae provinciae Austriae Societatis Iesu a. 1768;Cod.
 Cod. 12163;Litterae annuae provinciae Austriae Societatis Iesu a. 1770;Cod.
 Cod. 12164;Litterae annuae provinciae Austriae Societatis Iesu a. 1771;Cod.
 Cod. 12165;Litterae annuae provinciae Austriae Societatis Iesu a. 1701;Cod.
 Cod. 12166;Litterae annuae provinciae Austriae Societatis Iesu a. 1702;Cod.
 Cod. 12167;Litterae annuae provinciae Austriae Societatis Iesu a. 1704;Cod.
 Cod. 12168;Litterae annuae provinciae Austriae Societatis Iesu a. 1706;Cod.
 Cod. 12169;Litterae annuae provinciae Austriae Societatis Iesu a. 1712;Cod.
 Cod. 12170;Litterae annuae provinciae Austriae Societatis Iesu a. 1713;Cod.
 Cod. 12171;Litterae annuae provinciae Austriae Societatis Iesu a. 1716;Cod.
 Cod. 12172;Litterae annuae provinciae Austriae Societatis Iesu a. 1719;Cod.
